id,title,author,pub_year,publisher,price,img,class
1,The Bare Bones Bible Handbook. 10 Minutes to Understanding Each Book of the Bible,"George, Jim",2006,Old Favorites Bookshop LTD (since 1954),US$8.00 ,https://pictures.abebooks.com/isbn/9780736916547-us-300.jpg,Bible Study
2,Dreamer's Dictionary,"Stearn Robinson,Tom Corbett",1986,Kona Bay Books,US$6.00 ,https://pictures.abebooks.com/isbn/9780446342964-us-300.jpg,Dreams
3,Getting Things Done: The Art of Stress-Free Productivity,"Allen, David",2001,ThatsTheCatsMeow,US$12.00 ,https://pictures.abebooks.com/isbn/9780670899241-us-300.jpg,Time Management
4,Astronomy (2 Vol),Russel-Dugan-Stewart,1926,"Sparrow's Bookshop, IOBA",US$30.00 ,https://pictures.abebooks.com/inventory/md/md31073830003.jpg,Astronomy
5,"MAY AND JUNE, A ROMANCE OF THE REVOLUTION","Roe, Edward P.",1888,Never Too Many Books,US$15.00 ,https://pictures.abebooks.com/inventory/md/md30894375201.jpg,Historical Romance
6,Bennington Pottery and Porcelain - A Guide to Identification,"Barret, Richard Carter",1958,Goldring Books,US$19.61 ,https://pictures.abebooks.com/inventory/md/md31521933864.jpg,Antiques
7,Horton Hears a Who,Dr.Seuss,1954,Linda's Rare Books,US$700.00 ,https://pictures.abebooks.com/inventory/md/md31126268071.jpg,Dr Seuss Books
8,Stop and Smell the Rosemary: Recipes and Traditions to Remember,Junior League of Houston,1996,Copperfield's Used and Rare Books,US$25.00 ,https://pictures.abebooks.com/isbn/9780963242129-us-300.jpg,Cookbooks General
9,"Clinical and Experimental Hypnosis: In Medicine, Dentistry and Psychology (signed)","Kroger, William S.",1963,Rob the Book Man,US$29.75 ,https://pictures.abebooks.com/isbn/9780397500963-us-300.jpg,Hypnosis
10,Budu or Twenty Years in Sarawak,John K. Wilson,1969,Sapience Bookstore,US$7.33 ,https://pictures.abebooks.com/inventory/md/md31567831679.jpg,"Travel, Asia"
11,The Night Circus,"Morgenstern, Erin",2011,Librarium,US$50.00 ,https://pictures.abebooks.com/inventory/md/md31532253984.jpg,Fantasy
12,The American Woodland Garden: Capturing the Spirit of the Deciduous Forest,"Darke, Rick",2002,Oakholm Books,US$52.30 ,https://pictures.abebooks.com/inventory/md/md31532723823.jpg,Gardening
13,The English Rock Garden Volumes 1 & 2 (two volumes),Reginald Farrer,1919,Oakholm Books,US$6.54 ,https://pictures.abebooks.com/inventory/md/md31553106497.jpg,Gardening
14,The Market Of Seleukia : Signed By The Author,"Morris, James (Jan)",1957,Ashton Rare Books  ABA : PBFA : ILAB,US$588.42 ,https://pictures.abebooks.com/inventory/md/md30589394928.jpg,"Travel, Iconic"
15,George Psychoundakis : A Letter To C.A.Trypanis (Limited Lettered Edition: Signed By The Author),"Fermor, Patrick Leigh",1999,Ashton Rare Books  ABA : PBFA : ILAB,US$385.74 ,https://pictures.abebooks.com/inventory/md/md22693243713.jpg,"Travel, Iconic"
16,DAVID WORSHIPED WITH A FERVENT FAITH,"Cornwall, Judson",1996,The Old Bookshelf,US$6.47 ,https://pictures.abebooks.com/isbn/9781560430896-us-300.jpg,Christian Bible Study
17,DAILY GRACE FROM PHILLIPIANS AND COLOSSI,PHILIP GEORGE,2004,The Old Bookshelf,US$4.58 ,https://pictures.abebooks.com/isbn/9780852345603-us-300.jpg,Christian Bible Study
18,"Megatokyo, Vol. 1","Gallagher, Fred & Rodney Caston",2004,"James F. Balsley, Bookseller",US$8.00 ,https://pictures.abebooks.com/inventory/md/md31254544061.jpg,Manga
