title,author,pub_year,publisher,price,img,class,isbn
The Bare Bones Bible Handbook. 10 Minutes to Understanding Each Book of the Bible,"George, Jim",2006,Old Favorites Bookshop LTD (since 1954),US$8.00 ,https://pictures.abebooks.com/isbn/9780736916547-us-300.jpg,Bible Study,0736916547
Beware. Deception and Delusion in the Church,"Rudge, Bill",1996,Old Favorites Bookshop LTD (since 1954),US$45.00 ,https://pictures.abebooks.com/isbn/9781889809007-us-300.jpg,Bible Study,0310923093
The Wizard Within: The Krasner Method of Clinical Hypnotherapy,"A. M. Krasner, Ph.D.",1991,Streamside Books,US$10.00 ,https://pictures.abebooks.com/isbn/9780962482922-us-300.jpg,New Age,1596292237
The Eighth Continent: Tales of the Foreign Service,Philip Gould,1991,Biblio Pursuit,US$7.97 ,https://pictures.abebooks.com/isbn/9780945575726-us-300.jpg,Adventure Fiction,0345030060
Ramage & the Rebels (The Lord Ramage Novels),Dudley Pope,2001,Biblio Pursuit,US$7.97 ,https://pictures.abebooks.com/isbn/9780935526912-us-300.jpg,Adventure Fiction,0523008422
The Mississippi River,"McCarthy, Ann",1984,Bookmarc's,US$7.50 ,https://pictures.abebooks.com/isbn/9780517429488-us-300.jpg,Travel & Adventure (Travel),0517429489
The Jaguar Smile: A Nicaraguan Journey,"Rushdie, Salman",1987,Bookmarc's,US$1.75 ,https://pictures.abebooks.com/inventory/md/md3834784743.jpg,Travel & Adventure (Travel),0671779974
Turkish Reflections: A Biography of a Place,"Settle, Mary Lee",1992,Bookmarc's,US$5.00 ,https://pictures.abebooks.com/isbn/9780671779979-us-300.jpg,Travel & Adventure (Travel),085306704X
Dreamer's Dictionary,"Stearn Robinson,Tom Corbett",1986,Kona Bay Books,US$24.00 ,https://pictures.abebooks.com/isbn/9780446342964-us-300.jpg,Dreams,0062504371
Passing the Time in Ballymenone: Culture and History of an Ulster Community SIGNED,"Glassie, Henry",1982,"Underground Books, IOBA",US$20.00 ,https://pictures.abebooks.com/inventory/md/md31115492076.jpg,"Fairy Tales, Mythology, & Folklore",0253209870
"Folk-Lore of Women as Illustrated by Legendary and Traditionary Tales, Folk-Rhymes, Proverbial Sa...","Thiselton-Dyer, T. F.",1906,"Underground Books, IOBA",US$70.00 ,https://pictures.abebooks.com/inventory/md/md31154809685.jpg,"Fairy Tales, Mythology, & Folklore",1324075058
The Poetry of Eating: Being a Collection of Occasional Editorials printed in the Ohio State Journal,"Wilson, Edward S.",1908,"Book House in Dinkytown, IOBA",US$30.00 ,https://pictures.abebooks.com/inventory/md/md31306836152.jpg,Food Writing,0300039557
Tequila: A Natural and Cultural History,"Valenzuela-Zapata, Ana G.; Nabhan, Gary Paul",2004,"Book House in Dinkytown, IOBA",US$17.50 ,https://pictures.abebooks.com/isbn/9780816519385-us-300.jpg,Food Writing,0865473188
Building and Using an Astronomical Observatory,Paul Doherty,1986,Lady Lisa's Bookshop,US$8.17 ,https://pictures.abebooks.com/isbn/9780850598087-us-300.jpg,Astronomy,0753700417
Exploring the Night Sky with Binoculars,Patrick Moore,1988,Lady Lisa's Bookshop,US$634.10 ,https://pictures.abebooks.com/isbn/9780521368667-us-300.jpg,Astronomy,0283987928
"Giftpilze, Mit Einer Einfuhrung in Die Pilzbestimmung: Ein Handbuch Fur Apotheker, Arzte Und Biol...","Bresinsky, A.; Besl, H.",1985,Metakomet Books,US$42.00 ,https://pictures.abebooks.com/isbn/9783804706804-us-300.jpg,Biology,3540076972
"Clinical and Experimental Hypnosis: In Medicine, Dentistry and Psychology (signed)","Kroger, William S.",1963,Rob the Book Man,US$29.75 ,https://pictures.abebooks.com/isbn/9780397500963-us-300.jpg,Hypnosis,0829012087
Stop and Smell the Rosemary: Recipes and Traditions to Remember,Junior League of Houston,1996,Copperfield's Used and Rare Books,US$15.00 ,https://pictures.abebooks.com/isbn/9780963242129-us-300.jpg,Cookbooks General,1607745046
JACQUES PEPIN CELEBRATES,Jacques Pepin,2001,Copperfield's Used and Rare Books,US$17.50 ,https://pictures.abebooks.com/isbn/9780375412097-us-300.jpg,Cookbooks General,1933392347
Try This at Home,"Blais, Richard",2013,"Book Grove, RMABA",US$107.00 ,https://pictures.abebooks.com/isbn/9780307985279-us-300.jpg,Cookbooks,030798527X
In Madeleine's Kitchen,Madeleine Kamman,1984,"Book Grove, RMABA",US$23.00 ,https://pictures.abebooks.com/isbn/9780689114854-us-300.jpg,Cookbooks,0553052659
Kitchen Herbs: The Art and Enjoyment of Growing Herbs and Cooking With Them,"Gilbertie, Sal",1988,"Book Grove, RMABA",US$47.00 ,https://pictures.abebooks.com/isbn/9780553052657-us-300.jpg,Cookbooks,051758414X
Foods of the Southwest Indian Nations (Native American Recipies),"Frank, Lois Ellen",2002,"Book Grove, RMABA",US$29.00 ,https://pictures.abebooks.com/isbn/9781580083980-us-300.jpg,Cookbooks,0292790813
Everyday Greens,"Somerville, Annie",2003,"Book Grove, RMABA",US$23.00 ,https://pictures.abebooks.com/isbn/9780743216258-us-300.jpg,Cookbooks,0553066757
Alfred Portale's Gotham Bar and Grill Cookbook,"Portale, Alfred",1997,"Book Grove, RMABA",US$19.00 ,https://pictures.abebooks.com/isbn/9780385482103-us-300.jpg,Cookbooks,9622240178
Toscana Mia: The Heart and Soul of Tuscan Cooking,"Menghi, Umberto",2001,"Book Grove, RMABA",US$17.00 ,https://pictures.abebooks.com/isbn/9781550547214-us-300.jpg,Cookbooks,0966186907
Reves d'Alcoves; la chambre au cours des siecles,"Messinge, Sylvie [and] Gilles Plaisant, editors",1995,Bolerium Books Inc.,US$32.50 ,https://pictures.abebooks.com/inventory/md/md30665845895.jpg,"Dreams, dreaming, dream",8072171429
The Tartar Steppe,"Dino Buzzati, translated by Stuart Hood",1985,Hall of Books,US$25.88 ,https://pictures.abebooks.com/inventory/md/md31153307430.jpg,Travel (Asia),0575042907
In Xanadu: A Quest,William Dalrymple,1989,Hall of Books,US$38.85 ,https://pictures.abebooks.com/inventory/md/md31144086281.jpg,Travel (Asia),8120610199
DAVID WORSHIPED WITH A FERVENT FAITH,"Cornwall, Judson",1996,The Old Bookshelf,US$5.13 ,https://pictures.abebooks.com/isbn/9781560430896-us-300.jpg,Christian Bible Study,0340243120
